Date,Time,Symbol,Price,Equity,Balance,Profit,Positions,Score,ExitScore,Factors_srScore,Factors_maScore,Factors_rsiScore,Factors_macdScore,Factors_stochScore,Factors_bbScore,Factors_atrScore,Factors_sarScore,Factors_ichimokuScore,Factors_adxScore,Factors_volumeScore,Factors_mfiScore,Factors_priceMAScore,Factors_emaScore,Factors_emaCrossScore,Factors_cciScore,Factors_breakoutScore,Factors_phaseScore,Factors_institutionalPhaseScore,Factors_orderBlockScore,Factors_sweepScore,Factors_htfScore,Factors_uhtfScore,Factors_fvgScore,Factors_pullbackScore,Factors_supportStrength,Factors_resistanceStrength,Factors_candleScore,Factors_candlePattern,Factors_candleContext,Factors_majorFactors,Factors_nearestLevels,Factors_confidence,Factors_fvgContext,ExitFactors_srScore,ExitFactors_maScore,ExitFactors_rsiScore,ExitFactors_macdScore,ExitFactors_stochScore,ExitFactors_bbScore,ExitFactors_atrScore,ExitFactors_sarScore,ExitFactors_ichimokuScore,ExitFactors_adxScore,ExitFactors_volumeScore,ExitFactors_mfiScore,ExitFactors_priceMAScore,ExitFactors_emaScore,ExitFactors_emaCrossScore,ExitFactors_cciScore,ExitFactors_breakoutScore,ExitFactors_phaseScore,ExitFactors_institutionalPhaseScore,ExitFactors_orderBlockScore,ExitFactors_sweepScore,ExitFactors_htfScore,ExitFactors_uhtfScore,ExitFactors_fvgScore,ExitFactors_pullbackScore,ExitFactors_supportStrength,ExitFactors_resistanceStrength,ExitFactors_candleScore,ExitFactors_candlePattern,ExitFactors_candleContext,ExitFactors_majorFactors,ExitFactors_nearestLevels,ExitFactors_confidence,ExitFactors_fvgContext,EntryScore_Indicator,EntryScore_ADX,EntryScore_SR,EntryScore_FVG,EntryScore_HTF,EntryScore_Candle,EntryScore_Breakout,EntryScore_Phase,EntryScore_InstPhase,EntryScore_OrderBlock,EntryScore_Sweep,EntryScore_UHTF,EntryScore_MarketType,EntryScore_Bias,EntryScore_Fibonacci,EntryScore_VWAP,EntryScore_AVWAP,EntryScore_Pullback,EntryScore_Swing,EntryScore_EMA,EntryScore_FinalScore,EntryScore_Threshold,EntryScore_StrategyType,EntryScore_ActiveStrategies,EntryScore_MainReason,ExitScoreDetails_Indicator,ExitScoreDetails_ADX,ExitScoreDetails_SR,ExitScoreDetails_FVG,ExitScoreDetails_HTF,ExitScoreDetails_Candle,ExitScoreDetails_Breakout,ExitScoreDetails_Phase,ExitScoreDetails_InstPhase,ExitScoreDetails_OrderBlock,ExitScoreDetails_Sweep,ExitScoreDetails_UHTF,ExitScoreDetails_MarketType,ExitScoreDetails_Bias,ExitScoreDetails_Fibonacci,ExitScoreDetails_VWAP,ExitScoreDetails_AVWAP,ExitScoreDetails_Pullback,ExitScoreDetails_Swing,ExitScoreDetails_EMA,ExitScoreDetails_FinalScore,ExitScoreDetails_Threshold,ExitScoreDetails_StrategyType,ExitScoreDetails_ActiveStrategies,ExitScoreDetails_MainReason,Pullback_PullbackValid,Pullback_SwingHigh,Pullback_SwingLow,Pullback_InGoldenZone,Pullback_Strength
08/11/2022,16:32:30,SYM,16.19,1000.0,1000.0,0.0,0,7.12,-75.48,0.0,90.0,-9.51,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,35.03,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,33.97,0.0,0.0,0.0,85.52,0.0,0.0,0.0,0.0,0.0,0.56,0.0,14.4,14.0,0.0,0.0,0.0,0.0,13.56,-22.2,7.12,32.4,MULTI_STRATEGY,12.0,,-75.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.48,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:33:34,SYM,16.17,1000.0,1000.0,0.0,0,7.71,-35.48,0.0,90.0,-7.76,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,30.29,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,33.75,0.0,0.0,0.0,85.45,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.55,14.0,0.0,0.0,0.0,0.0,35.79,-18.56,7.71,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.48,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:34:34,SYM,16.2,1000.0,1000.0,0.0,0,7.01,71.64,0.0,90.0,-20.66,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,90.0,26.86,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,23.09,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,39.01,0.0,0.0,0.0,85.55,0.0,0.0,15.52,0.0,0.0,0.31,0.0,2.92,14.0,0.0,0.0,0.0,0.0,2.46,-24.02,7.01,32.4,MULTI_STRATEGY,12.0,,-67.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.64,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:35:59,SYM,16.23,1000.0,1000.0,0.0,0,11.93,2.01,0.0,90.0,-25.21,90.0,0.0,-90.0,90.0,90.0,90.0,0.0,90.0,8.57,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,30.59,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,50.24,0.0,52.15,0.0,85.65,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,-29.48,11.93,32.4,MULTI_STRATEGY,12.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:36:59,SYM,16.19,1000.0,1000.0,0.0,0,9.39,-17.83,0.0,90.0,-9.51,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,90.0,6.82,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,38.38,0.0,0.0,0.0,85.52,0.0,0.0,48.6,0.0,0.0,0.56,0.0,2.61,14.0,0.0,0.0,0.0,0.0,13.56,-22.2,9.39,32.4,MULTI_STRATEGY,12.0,,-75.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:38:30,SYM,16.07,1000.0,1000.0,0.0,0,12.81,-27.83,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,-90.0,6.42,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,19.99,0.0,0.0,0.0,80.89,0.0,0.0,48.6,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.79,12.81,32.4,MULTI_STRATEGY,12.0,,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:39:30,SYM,16.07,1000.0,1000.0,0.0,0,12.81,-37.83,0.0,-90.0,3.47,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,-90.0,6.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,19.96,0.0,0.0,0.0,80.89,0.0,0.0,48.6,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.79,12.81,32.4,MULTI_STRATEGY,12.0,,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:41:30,SYM,16.11,1000.0,1000.0,0.0,0,12.93,-47.83,0.0,-90.0,-1.89,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,-8.07,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,18.57,0.0,0.0,0.0,85.25,0.0,0.0,48.1,0.0,0.0,1.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,-8.07,12.93,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:45:30,SYM,16.1,1000.0,1000.0,0.0,0,12.98,-57.83,0.0,-90.0,-0.66,-90.0,0.0,-90.0,90.0,90.0,90.0,0.0,0.0,-7.64,0.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,18.69,0.0,0.0,0.0,85.43,0.0,0.0,48.1,0.0,0.0,1.43,0.0,0.0,14.0,0.0,0.0,0.0,0.0,100.0,-6.25,12.98,32.4,MULTI_STRATEGY,12.0,,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
08/11/2022,16:46:59,SYM,16.06,1000.0,1000.0,0.0,0,11.82,-77.83,0.0,-90.0,4.73,-90.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,-6.42,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,N/A,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,25.59,0.0,0.0,0.0,85.3,0.0,0.0,22.4,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.72,11.82,32.4,MULTI_STRATEGY,12.0,,-98.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.83,11.34,BALANCED_EXIT_STRATEGY,4.0,,false,0.0,0.0,false,0.0
