Date,Time,Symbol,Equity,Price
01/16/2024,16:30:00,BABA,1000.00,70.13000
01/16/2024,16:31:00,BABA,1000.00,70.11000
01/16/2024,16:32:00,BABA,1000.00,70.00000
01/16/2024,16:33:00,BABA,1000.00,69.97000
01/16/2024,16:34:00,BABA,1000.00,70.05000
01/16/2024,16:35:00,BABA,1000.00,70.11000
01/16/2024,16:36:00,BABA,1000.00,70.07000
01/16/2024,16:37:00,BABA,1000.00,70.10000
01/16/2024,16:38:00,BABA,1000.00,70.00000
01/16/2024,16:39:00,BABA,1000.00,69.88000
01/16/2024,16:40:00,BABA,1000.00,70.02000
01/16/2024,16:41:00,BABA,1000.00,70.11000
01/16/2024,16:42:00,BABA,1000.00,70.07000
01/16/2024,16:43:00,BABA,1000.00,70.08000
01/16/2024,16:44:00,BABA,1000.00,70.11000
01/16/2024,16:45:00,BABA,1000.00,70.06000
01/16/2024,16:46:00,BABA,1000.00,70.09000
01/16/2024,16:47:00,BABA,1000.00,70.00000
01/16/2024,16:48:00,BABA,1000.00,70.01000
01/16/2024,16:49:00,BABA,1000.00,70.11000
01/16/2024,16:50:00,BABA,1000.00,70.12000
01/16/2024,16:51:00,BABA,1000.00,70.19000
01/16/2024,16:52:00,BABA,1000.00,70.25000
01/16/2024,16:53:00,BABA,1000.00,70.39000
01/16/2024,16:54:00,BABA,1000.00,70.36000
01/16/2024,16:55:00,BABA,1000.00,70.46000
01/16/2024,16:56:00,BABA,1000.00,70.43000
01/16/2024,16:57:00,BABA,1000.00,70.47000
01/16/2024,16:58:00,BABA,1000.00,70.40000
01/16/2024,16:59:00,BABA,1000.00,70.42000
01/16/2024,17:00:00,BABA,1000.00,70.40000
01/16/2024,17:01:00,BABA,1000.00,70.44000
01/16/2024,17:02:00,BABA,1000.00,70.35000
01/16/2024,17:03:00,BABA,1000.00,70.38000
01/16/2024,17:04:00,BABA,1000.00,70.33000
01/16/2024,17:05:00,BABA,1000.00,70.27000
01/16/2024,17:06:00,BABA,1000.00,70.34000
01/16/2024,17:07:00,BABA,1000.00,70.22000
01/16/2024,17:08:00,BABA,1000.00,70.12000
01/16/2024,17:09:00,BABA,1000.00,70.12000
01/16/2024,17:10:00,BABA,1000.00,70.11000
01/16/2024,17:11:00,BABA,1000.00,70.15000
01/16/2024,17:12:00,BABA,1000.00,70.04000
01/16/2024,17:13:00,BABA,1000.00,70.02000
01/16/2024,17:14:00,BABA,1000.00,70.03000
01/16/2024,17:15:00,BABA,1000.00,70.01000
01/16/2024,17:16:00,BABA,1000.00,70.09000
01/16/2024,17:17:00,BABA,1000.00,70.05000
01/16/2024,17:18:00,BABA,1000.00,70.05000
01/16/2024,17:19:00,BABA,1000.00,70.05000
01/16/2024,17:20:00,BABA,1000.00,70.08000
01/16/2024,17:21:00,BABA,1000.00,70.14000
01/16/2024,17:22:00,BABA,1000.00,70.12000
01/16/2024,17:23:00,BABA,1000.00,70.21000
01/16/2024,17:24:00,BABA,1000.00,70.21000
01/16/2024,17:25:00,BABA,1000.00,70.23000
01/16/2024,17:26:00,BABA,1000.00,70.19000
01/16/2024,17:27:00,BABA,1000.00,70.16000
01/16/2024,17:28:00,BABA,1000.00,70.23000
01/16/2024,17:29:00,BABA,1000.00,70.30000
01/16/2024,17:30:00,BABA,1000.00,70.23000
01/16/2024,17:31:00,BABA,1000.00,70.15000
01/16/2024,17:32:00,BABA,1000.00,70.08000
01/16/2024,17:33:00,BABA,1000.00,70.06000
01/16/2024,17:34:00,BABA,1000.00,70.06000
01/16/2024,17:35:00,BABA,1000.00,70.11000
01/16/2024,17:36:00,BABA,1000.00,70.11000
01/16/2024,17:37:00,BABA,1000.00,70.07000
01/16/2024,17:38:00,BABA,1000.00,70.05000
01/16/2024,17:39:00,BABA,1000.00,70.11000
01/16/2024,17:40:00,BABA,1000.00,70.10000
01/16/2024,17:41:00,BABA,1000.00,70.14000
01/16/2024,17:42:00,BABA,1000.00,70.16000
01/16/2024,17:43:00,BABA,1000.00,70.24000
01/16/2024,17:44:00,BABA,1000.00,70.18000
01/16/2024,17:45:00,BABA,1000.00,70.15000
01/16/2024,17:46:00,BABA,1000.00,70.21000
01/16/2024,17:47:00,BABA,1000.00,70.19000
01/16/2024,17:48:00,BABA,1000.00,70.23000
01/16/2024,17:49:00,BABA,1000.00,70.30000
01/16/2024,17:50:00,BABA,1000.00,70.35000
01/16/2024,17:51:00,BABA,1000.00,70.33000
01/16/2024,17:52:00,BABA,1000.00,70.32000
01/16/2024,17:53:00,BABA,1000.00,70.33000
01/16/2024,17:54:00,BABA,1000.00,70.27000
01/16/2024,17:55:00,BABA,1000.00,70.21000
01/16/2024,17:56:00,BABA,1000.00,70.21000
01/16/2024,17:57:00,BABA,1000.00,70.18000
01/16/2024,17:58:00,BABA,1000.00,70.18000
01/16/2024,17:59:00,BABA,1000.00,70.17000
01/16/2024,18:00:00,BABA,1000.00,70.15000
01/16/2024,18:01:00,BABA,1000.00,69.98000
01/16/2024,18:02:00,BABA,1000.00,70.00000
01/16/2024,18:03:00,BABA,1000.00,69.95000
01/16/2024,18:04:00,BABA,1000.00,70.01000
01/16/2024,18:05:00,BABA,1000.00,69.99000
01/16/2024,18:06:00,BABA,1000.00,70.04000
01/16/2024,18:07:00,BABA,1000.00,69.99000
01/16/2024,18:08:00,BABA,1000.00,69.91000
01/16/2024,18:09:00,BABA,1000.00,69.91000
01/16/2024,18:10:00,BABA,1000.00,69.89000
01/16/2024,18:11:00,BABA,1000.00,69.91000
01/16/2024,18:12:00,BABA,1000.00,69.94000
01/16/2024,18:13:00,BABA,1000.00,69.91000
01/16/2024,18:14:00,BABA,1000.00,69.95000
01/16/2024,18:15:00,BABA,1000.00,69.92000
01/16/2024,18:16:00,BABA,1000.00,69.98000
01/16/2024,18:17:00,BABA,1000.00,70.01000
01/16/2024,18:18:00,BABA,1000.00,70.06000
01/16/2024,18:19:00,BABA,1000.00,70.01000
01/16/2024,18:20:00,BABA,1000.00,70.01000
01/16/2024,18:21:00,BABA,1000.00,70.01000
01/16/2024,18:22:00,BABA,1000.00,70.03000
01/16/2024,18:23:00,BABA,1000.00,70.00000
01/16/2024,18:24:00,BABA,1000.00,69.87000
01/16/2024,18:25:00,BABA,1000.00,69.88000
01/16/2024,18:26:00,BABA,1000.00,69.82000
01/16/2024,18:27:00,BABA,1000.00,69.90000
01/16/2024,18:28:00,BABA,1000.00,69.84000
01/16/2024,18:29:00,BABA,1000.00,69.83000
01/16/2024,18:30:00,BABA,1000.00,69.83000
01/16/2024,18:31:00,BABA,1000.00,69.82000
01/16/2024,18:32:00,BABA,1000.00,69.82000
01/16/2024,18:33:00,BABA,1000.00,69.88000
01/16/2024,18:34:00,BABA,1000.00,69.88000
01/16/2024,18:35:00,BABA,1000.00,69.95000
01/16/2024,18:36:00,BABA,1000.00,69.98000
01/16/2024,18:37:00,BABA,1000.00,69.95000
01/16/2024,18:38:00,BABA,1000.00,69.96000
01/16/2024,18:39:00,BABA,1000.00,69.94000
01/16/2024,18:40:00,BABA,1000.00,69.96000
01/16/2024,18:41:00,BABA,1000.00,69.92000
01/16/2024,18:42:00,BABA,1000.00,69.90000
01/16/2024,18:43:00,BABA,1000.00,69.90000
01/16/2024,18:44:00,BABA,1000.00,69.86000
01/16/2024,18:45:00,BABA,1000.00,69.85000
01/16/2024,18:46:00,BABA,1000.00,69.87000
01/16/2024,18:47:00,BABA,1000.00,69.80000
01/16/2024,18:48:00,BABA,1000.00,69.81000
01/16/2024,18:49:00,BABA,1000.00,69.86000
01/16/2024,18:50:00,BABA,1000.00,69.87000
01/16/2024,18:51:00,BABA,1000.00,69.85000
01/16/2024,18:52:00,BABA,1000.00,69.86000
01/16/2024,18:53:00,BABA,1000.00,69.84000
01/16/2024,18:54:00,BABA,1000.00,69.85000
01/16/2024,18:55:00,BABA,1000.00,69.78000
01/16/2024,18:56:00,BABA,1000.00,69.78000
01/16/2024,18:57:00,BABA,1000.00,69.78000
01/16/2024,18:58:00,BABA,1000.00,69.72000
01/16/2024,18:59:00,BABA,1000.00,69.76000
01/16/2024,19:00:00,BABA,1000.00,69.78000
01/16/2024,19:01:00,BABA,1000.00,69.78000
01/16/2024,19:02:00,BABA,1000.00,69.73000
01/16/2024,19:03:00,BABA,1000.00,69.70000
01/16/2024,19:04:00,BABA,1000.00,69.70000
01/16/2024,19:05:00,BABA,1000.00,69.69000
01/16/2024,19:06:00,BABA,1000.00,69.68000
01/16/2024,19:07:00,BABA,1000.00,69.66000
01/16/2024,19:08:00,BABA,1000.00,69.65000
01/16/2024,19:09:00,BABA,1000.00,69.70000
01/16/2024,19:10:00,BABA,1000.00,69.69000
01/16/2024,19:11:00,BABA,1000.00,69.65000
01/16/2024,19:12:00,BABA,1000.00,69.60000
01/16/2024,19:13:00,BABA,1000.00,69.55000
01/16/2024,19:14:00,BABA,1000.00,69.56000
01/16/2024,19:15:00,BABA,1000.00,69.53000
01/16/2024,19:16:00,BABA,1000.00,69.55000
01/16/2024,19:17:00,BABA,1000.00,69.54000
01/16/2024,19:18:00,BABA,1000.00,69.60000
01/16/2024,19:19:00,BABA,1000.00,69.53000
01/16/2024,19:20:00,BABA,1000.00,69.54000
