feature,importance
Factors_ichimokuScore,0.33843824
EntryScore_EMA,0.12325335
Factors_sarScore,0.10906815
Factors_emaCrossScore,0.07265394
Factors_maScore,0.050844815
Factors_bbScore,0.040956195
Factors_macdScore,0.040362142
EntryScore_SR,0.036702547
Factors_cciScore,0.030937416
Factors_rsiScore,0.030859068
EntryScore_AVWAP,0.023764197
Factors_stochScore,0.023598123
Factors_atrScore,0.020933073
Factors_mfiScore,0.019597013
Factors_emaScore,0.018673362
Factors_volumeScore,0.010450968
Factors_priceMAScore,0.008907354
Factors_adxScore,0.0
