feature,importance
Factors_ichimokuScore,0.3574089
EntryScore_EMA,0.120317616
Factors_sarScore,0.106289044
Factors_emaCrossScore,0.067098066
Factors_maScore,0.048570096
Factors_macdScore,0.041793622
EntryScore_SR,0.03584346
Factors_bbScore,0.034621023
Factors_rsiScore,0.031559214
Factors_cciScore,0.029806936
Factors_stochScore,0.023947967
EntryScore_AVWAP,0.02325604
Factors_mfiScore,0.019963263
Factors_atrScore,0.019901069
Factors_emaScore,0.019117394
Factors_volumeScore,0.010950963
Factors_priceMAScore,0.009555288
Factors_adxScore,0.0
