Iteration,Parameters,Return
37/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
38/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
39/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
40/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
41/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
42/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
43/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
44/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
45/90,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
46/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
47/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
48/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'trailing_stop_atr_multiplier': 2.0, 'stop_loss_atr_multiplier': 2.0}",0.0012
49/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.0, 'stop_loss_atr_multiplier': 2.0}",0.0005
50/90,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'trailing_stop_atr_multiplier': 1.5, 'stop_loss_atr_multiplier': 2.0}",0.0013
