Iteration,Parameters,Return
179/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
180/540,"{'resistance_period': 7, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
181/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
182/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
183/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
184/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
185/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
186/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
187/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
188/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
189/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
190/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
191/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
192/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
193/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
194/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
195/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
196/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
197/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
198/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
199/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
200/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
201/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
202/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
203/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
204/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
205/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
206/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
207/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
208/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
209/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
210/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
211/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
212/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
213/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
214/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
215/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
216/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
217/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
218/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
219/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
220/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
221/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
222/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
223/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
224/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
225/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
226/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
227/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
228/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
229/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
230/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
231/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
232/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
233/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
234/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
235/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
236/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
237/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
238/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
239/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
240/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
241/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
242/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
243/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
244/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
245/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
246/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
247/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
248/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
249/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
250/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
251/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
252/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
253/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
254/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
255/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
256/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
257/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
258/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
259/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
260/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
261/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
262/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
263/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
264/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
265/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
266/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
267/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
268/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
269/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
270/540,"{'resistance_period': 9, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
271/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0052
272/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0310
273/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0031
274/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0037
275/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0153
276/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0133
277/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0189
278/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0320
279/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
280/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0183
281/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0243
282/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0135
283/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0169
284/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0234
285/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0027
286/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0195
287/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0232
288/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.0), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0130
289/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0052
290/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0310
291/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0031
292/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0037
293/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0153
294/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0133
295/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0189
296/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0320
297/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
298/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0183
299/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0243
300/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0135
301/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0169
302/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0234
303/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0027
304/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0195
305/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0232
306/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.1), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0130
307/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0052
308/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0310
309/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0031
310/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0037
311/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0153
312/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0133
313/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0189
314/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0320
315/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
316/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0183
317/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0243
318/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0135
319/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0169
320/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0234
321/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0027
322/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0195
323/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0232
324/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0130
325/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0052
326/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0310
327/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0031
328/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0037
329/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0153
330/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0133
331/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0189
332/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0320
333/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
334/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0183
335/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0243
336/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0135
337/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0169
338/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0234
339/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0027
340/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0195
341/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0232
342/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0130
343/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0052
344/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0310
345/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0031
346/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0037
347/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0153
348/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0133
349/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0189
350/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0320
351/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
352/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0183
353/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0243
354/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0135
355/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0169
356/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0234
357/540,"{'resistance_period': 11, 'volume_multiplier': np.float64(1.4000000000000004), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0027
