Iteration,Parameters,Return
43/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
44/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
45/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
46/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
47/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
48/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
49/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
50/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
51/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
52/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
53/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 13}",0.0221
54/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.2000000000000002), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 15}",0.0127
55/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 5}",0.0055
56/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 7}",0.0314
57/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 9}",0.0035
58/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 11}",0.0041
59/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 13}",0.0157
60/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.02), 'bull_run_period': 15}",0.0137
61/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 5}",0.0190
62/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 7}",0.0311
63/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 9}",-0.0034
64/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 11}",0.0179
65/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 13}",0.0233
66/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.03), 'bull_run_period': 15}",0.0131
67/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 5}",0.0170
68/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 7}",0.0226
69/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 9}",-0.0028
70/540,"{'resistance_period': 5, 'volume_multiplier': np.float64(1.3000000000000003), 'bull_run_threshold': np.float64(0.039999999999999994), 'bull_run_period': 11}",0.0191
