iter	RMSE
0	2.41013717
1	2.29789607
2	2.189566751
3	2.085386584
4	1.986766595
5	1.892965357
6	1.804261998
7	1.722055933
8	1.643286055
9	1.566044687
10	1.495762031
11	1.425260046
12	1.360490501
13	1.298754377
14	1.240604873
15	1.18380102
16	1.130712908
17	1.077683338
18	1.027807175
19	0.9809558542
20	0.9365065027
21	0.8961132632
22	0.8555443598
23	0.8177880063
24	0.7808042854
25	0.7460145537
26	0.7124943309
27	0.6804350875
28	0.6506818194
29	0.6238374209
30	0.597318629
31	0.5723748885
32	0.5478918667
33	0.5242998079
34	0.5024149196
35	0.4812604213
36	0.461590385
37	0.4431350527
38	0.4258006321
39	0.4088882003
40	0.3929445602
41	0.3779482701
42	0.3644185692
43	0.3509013963
44	0.3384162173
45	0.3259032875
46	0.3144836214
47	0.303874072
48	0.2935893223
49	0.2839798272
50	0.2747901353
51	0.2661844951
52	0.2582599257
53	0.2511849461
54	0.2445863221
55	0.2379685463
56	0.2319898383
57	0.2259064455
58	0.2203244682
59	0.2151492856
60	0.2104800528
61	0.2062091789
62	0.2020961829
63	0.1983565608
64	0.1949372697
65	0.1917211509
66	0.1885752348
67	0.1856776821
68	0.1828703005
69	0.1806049768
70	0.1783552646
71	0.1760951681
72	0.1740275459
73	0.1722488958
74	0.1705014899
75	0.1689024025
76	0.1673546564
77	0.1659301256
78	0.1646712309
79	0.1632662968
80	0.162009828
81	0.1609665124
82	0.1599124837
83	0.1590666353
84	0.1582728483
85	0.1573721457
86	0.1566433904
87	0.1559168647
88	0.1551710486
89	0.1545558306
90	0.1539890906
91	0.1533890429
92	0.1529237248
93	0.1524685064
94	0.1519619794
95	0.1516349198
96	0.1512078651
97	0.1508141837
98	0.1504648138
99	0.1500770859
100	0.1495214739
101	0.1491248629
102	0.148697473
103	0.148309142
104	0.1479502293
105	0.1476160058
106	0.1470494462
107	0.1465839225
108	0.1461494365
109	0.1458661761
110	0.1455910198
111	0.1453937274
112	0.1450571461
113	0.1447693695
114	0.1445577582
115	0.1442897822
116	0.1441382446
117	0.1439282745
118	0.1434846457
119	0.1432165498
120	0.1429577148
121	0.1427698044
122	0.1424239592
123	0.1422397278
124	0.1418780099
125	0.1415130705
126	0.1412828747
127	0.1409799529
128	0.1406270771
129	0.1403198799
130	0.1400307543
131	0.1398544597
132	0.1396444017
133	0.1394863742
134	0.1393272685
135	0.1390386815
136	0.1387888307
137	0.1384989604
138	0.1383354948
139	0.1381415608
140	0.137950182
141	0.1376195805
142	0.1374938973
143	0.1373418509
144	0.137122596
145	0.1369319619
146	0.1367251898
147	0.1366036974
