Date,Time,Symbol,Price,Equity,Balance,Profit,Positions,Score,ExitScore,Pullback_PullbackValid,Pullback_SwingHigh,Pullback_SwingLow,Pullback_InGoldenZone,Pullback_Strength,ExitScoreDetails_Indicator,ExitScoreDetails_ADX,ExitScoreDetails_SR,ExitScoreDetails_FVG,ExitScoreDetails_HTF,ExitScoreDetails_Candle,ExitScoreDetails_Breakout,ExitScoreDetails_Phase,ExitScoreDetails_InstPhase,ExitScoreDetails_OrderBlock,ExitScoreDetails_Sweep,ExitScoreDetails_UHTF,ExitScoreDetails_MarketType,ExitScoreDetails_Bias,ExitScoreDetails_Fibonacci,ExitScoreDetails_VWAP,ExitScoreDetails_AVWAP,ExitScoreDetails_Pullback,ExitScoreDetails_Swing,ExitScoreDetails_EMA,ExitScoreDetails_FinalScore,ExitScoreDetails_Threshold,ExitScoreDetails_StrategyType,ExitScoreDetails_ActiveStrategies,ExitScoreDetails_MainReason,EntryScore_Indicator,EntryScore_ADX,EntryScore_SR,EntryScore_FVG,EntryScore_HTF,EntryScore_Candle,EntryScore_Breakout,EntryScore_Phase,EntryScore_InstPhase,EntryScore_OrderBlock,EntryScore_Sweep,EntryScore_UHTF,EntryScore_MarketType,EntryScore_Bias,EntryScore_Fibonacci,EntryScore_VWAP,EntryScore_AVWAP,EntryScore_Pullback,EntryScore_Swing,EntryScore_EMA,EntryScore_FinalScore,EntryScore_Threshold,EntryScore_StrategyType,EntryScore_ActiveStrategies,EntryScore_MainReason,ExitFactors_srScore,ExitFactors_maScore,ExitFactors_rsiScore,ExitFactors_macdScore,ExitFactors_stochScore,ExitFactors_bbScore,ExitFactors_atrScore,ExitFactors_sarScore,ExitFactors_ichimokuScore,ExitFactors_adxScore,ExitFactors_volumeScore,ExitFactors_mfiScore,ExitFactors_priceMAScore,ExitFactors_emaScore,ExitFactors_emaCrossScore,ExitFactors_cciScore,ExitFactors_breakoutScore,ExitFactors_phaseScore,ExitFactors_institutionalPhaseScore,ExitFactors_orderBlockScore,ExitFactors_sweepScore,ExitFactors_htfScore,ExitFactors_uhtfScore,ExitFactors_fvgScore,ExitFactors_pullbackScore,ExitFactors_supportStrength,ExitFactors_resistanceStrength,ExitFactors_candleScore,ExitFactors_candlePattern,ExitFactors_candleContext,ExitFactors_majorFactors,ExitFactors_nearestLevels,ExitFactors_confidence,ExitFactors_fvgContext,Factors_srScore,Factors_maScore,Factors_rsiScore,Factors_macdScore,Factors_stochScore,Factors_bbScore,Factors_atrScore,Factors_sarScore,Factors_ichimokuScore,Factors_adxScore,Factors_volumeScore,Factors_mfiScore,Factors_priceMAScore,Factors_emaScore,Factors_emaCrossScore,Factors_cciScore,Factors_breakoutScore,Factors_phaseScore,Factors_institutionalPhaseScore,Factors_orderBlockScore,Factors_sweepScore,Factors_htfScore,Factors_uhtfScore,Factors_fvgScore,Factors_pullbackScore,Factors_supportStrength,Factors_resistanceStrength,Factors_candleScore,Factors_candlePattern,Factors_candleContext,Factors_majorFactors,Factors_nearestLevels,Factors_confidence,Factors_fvgContext
8/11/2022,16:32:30,SYM,16.19,1000,1000,0,0,7.12,-75.48,FALSE,0,0,FALSE,0,-75.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.48,11.34,BALANCED_EXIT_STRATEGY,4,,33.97,0,0,0,85.52,0,0,0,0,0,0.56,0,14.4,14,0,0,0,0,13.56,-22.2,7.12,32.4,MULTI_STRATEGY,12,,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,90,-9.51,-90,0,-90,90,90,90,0,0,35.03,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:33:34,SYM,16.17,1000,1000,0,0,7.71,-35.48,FALSE,0,0,FALSE,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.48,11.34,BALANCED_EXIT_STRATEGY,4,,33.75,0,0,0,85.45,0,0,0,0,0,1.07,0,1.55,14,0,0,0,0,35.79,-18.56,7.71,32.4,MULTI_STRATEGY,12,,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,24.33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,90,-7.76,-90,0,-90,90,90,90,0,0,30.29,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:34:34,SYM,16.2,1000,1000,0,0,7.01,71.64,FALSE,0,0,FALSE,0,-67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.64,11.34,BALANCED_EXIT_STRATEGY,4,,39.01,0,0,0,85.55,0,0,15.52,0,0,0.31,0,2.92,14,0,0,0,0,2.46,-24.02,7.01,32.4,MULTI_STRATEGY,12,,0,0,23.09,-80,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,90,-20.66,-90,0,-90,90,90,90,0,90,26.86,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:35:59,SYM,16.23,1000,1000,0,0,11.93,2.01,FALSE,0,0,FALSE,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,11.34,BALANCED_EXIT_STRATEGY,4,,50.24,0,52.15,0,85.65,0,0,48.6,0,0,0,0,0,14,0,0,0,0,0,-29.48,11.93,32.4,MULTI_STRATEGY,12,,0,0,30.59,100,0,0,0,0,0,0,0,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,90,-25.21,90,0,-90,90,90,90,0,90,8.57,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:36:59,SYM,16.19,1000,1000,0,0,9.39,-17.83,FALSE,0,0,FALSE,0,-75.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.83,11.34,BALANCED_EXIT_STRATEGY,4,,38.38,0,0,0,85.52,0,0,48.6,0,0,0.56,0,2.61,14,0,0,0,0,13.56,-22.2,9.39,32.4,MULTI_STRATEGY,12,,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,90,-9.51,-90,0,-90,90,90,90,0,90,6.82,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:37:30,SYM,16.07,1000,1000,0,0,12.81,-27.83,FALSE,0,0,FALSE,0,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.83,11.34,BALANCED_EXIT_STRATEGY,4,,19.99,0,0,0,80.89,0,0,48.6,0,0,3.63,0,0,0,0,0,0,0,100,22.79,12.81,32.4,MULTI_STRATEGY,12,,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,-90,3.47,-90,0,90,90,90,90,0,-90,6.42,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
8/11/2022,16:38:30,SYM,16.07,1000,1000,0,0,12.81,-37.83,FALSE,0,0,FALSE,0,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.83,11.34,BALANCED_EXIT_STRATEGY,4,,19.96,0,0,0,80.89,0,0,48.6,0,0,3.63,0,0,0,0,0,0,0,100,22.79,12.81,32.4,MULTI_STRATEGY,12,,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,-90,3.47,-90,0,90,90,90,90,0,-90,6,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,N/A
