Time,Ticket,Action,Symbol,Price,Volume,StopLoss,TakeProfit,CurrentProfit,CloseReason,factors,score,efactors,exitScore
2022.08.16 21:33,2,BUY,SYM,15.75000,60.00,0.00000,0.00000,0.00,BUY,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=BEAR_FVG:75.6|BEAR_FVG:93.3|BEAR_FVG:75.6|BEAR_FVG:93.3|BULL_FVG:93.3|BEAR_FVG:93.3|BEAR_FVG:84.0|BULL_FVG:93.3|BULL_FVG:93.3|,Indicator=0.00|ADX=0.00|SR=0.00|FVG=-78.10|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-52.07|Threshold=20.81|StrategyType=SINGLE_STRATEGY|ActiveStrategies=1|MainReason=,srScore=0.00|maScore=0.00|rsiScore=30.95|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=27.59|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=|,Indicator=51.24|ADX=0.00|SR=0.00|FVG=0.00|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=42.67|Threshold=10.93|StrategyType=BALANCED_EXIT_STRATEGY|ActiveStrategies=4|MainReason=
2022.08.18 16:30,3,PARTIAL_CLOSE,SYM,17.50000,42.00,15.75000,0.00000,72.37,PARTIAL_TP|Close=70.00%|Entry=15.75000|Exit=17.50000,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=BULL_FVG:93.3|BEAR_FVG:75.6|BEAR_FVG:75.6|BULL_FVG:75.6|BEAR_FVG:93.3|BEAR_FVG:84.0|BEAR_FVG:75.6|,Indicator=0.00|ADX=0.00|SR=0.00|FVG=-6.80|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-4.53|Threshold=21.60|StrategyType=SINGLE_STRATEGY|ActiveStrategies=1|MainReason=,srScore=0.00|maScore=0.00|rsiScore=87.75|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=33.82|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=|,Indicator=86.04|ADX=0.00|SR=0.00|FVG=0.00|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=52.67|Threshold=11.34|StrategyType=BALANCED_EXIT_STRATEGY|ActiveStrategies=4|MainReason=
2022.08.19 16:41,4,CLOSE,SYM,15.74000,18.00,0.00000,0.00000,-0.18,STOP_LOSS_HIT,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=BULL_FVG:93.3|BEAR_FVG:75.6|BEAR_FVG:75.6|BULL_FVG:75.6|BEAR_FVG:84.0|BEAR_FVG:75.6|BEAR_FVG:75.6|BEAR_FVG:75.6|,Indicator=0.00|ADX=0.00|SR=0.00|FVG=-100.00|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-66.67|Threshold=18.29|StrategyType=SINGLE_STRATEGY|ActiveStrategies=1|MainReason=,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=|,Indicator=-100.00|ADX=0.00|SR=0.00|FVG=0.00|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-92.06|Threshold=9.60|StrategyType=BALANCED_EXIT_STRATEGY|ActiveStrategies=4|MainReason=
2022.08.19 17:58,5,BUY,SYM,14.10000,72.00,0.00000,0.00000,0.00,BUY,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=BULL_FVG:93.3|BEAR_FVG:75.6|BEAR_FVG:75.6|BULL_FVG:75.6|BEAR_FVG:84.0|BEAR_FVG:75.6|BEAR_FVG:75.6|BEAR_FVG:75.6|BEAR_FVG:75.6|,Indicator=0.00|ADX=0.00|SR=0.00|FVG=-80.42|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-53.62|Threshold=19.44|StrategyType=SINGLE_STRATEGY|ActiveStrategies=1|MainReason=,srScore=0.00|maScore=0.00|rsiScore=0.00|macdScore=0.00|stochScore=0.00|bbScore=0.00|atrScore=0.00|sarScore=0.00|ichimokuScore=0.00|adxScore=0.00|volumeScore=0.00|mfiScore=0.00|priceMAScore=0.00|emaScore=0.00|emaCrossScore=0.00|cciScore=0.00|breakoutScore=0.00|phaseScore=0.00|institutionalPhaseScore=0.00|orderBlockScore=0.00|sweepScore=0.00|htfScore=0.00|uhtfScore=0.00|fvgScore=0.00|supportStrength=0.00|resistanceStrength=0.00|candleScore=0.00|candlePattern=|candleContext=|majorFactors=|nearestLevels=|confidence=0.00|fvgContext=|,Indicator=-100.00|ADX=0.00|SR=0.00|FVG=0.00|HTF=0.00|Candle=0.00|Breakout=0.00|Phase=0.00|InstPhase=0.00|OrderBlock=0.00|Sweep=0.00|UHTF=0.00|MarketType=0.00|Bias=0.00|Fibonacci=0.00|VWAP=0.00|FinalScore=-92.06|Threshold=10.21|StrategyType=BALANCED_EXIT_STRATEGY|ActiveStrategies=4|MainReason=
